id,full_name,email,password,role,job_category,specific_role,skills,experience_level,experience_years,location,success_rate_job,jobs_completed,client_rating,rehire_rate,min_budget_idr,hourly_rate_usd,earnings_usd,platform_origin,project_type,is_available,profile_verified,created_at
2644,Putri Wibisono,putri.wibisono28@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Content Creator,Copywriter,"Google Analytics, Storytelling, Content Marketing, Content Strategy, WordPress",Intermediate,4,Surabaya,76.7,60,3.69,81.1,2210000,22.92,2645.49,Koneksi Pribadi,Hourly,1,1,2024-07-18 6:54:42
2645,Farhunnisa Nashiruddin,farhunnisa.nashiruddin238@yahoo.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,UX Writer,"Research, Content Marketing, Email Marketing, Storytelling, Copywriting",Intermediate,5,Malang,85.2,133,4.03,67.6,2127000,54.25,2286.41,Koneksi Pribadi,Retainer,0,1,2023-05-10 0:21:32
2646,R.A. Rika Anggriawan,r.a..rika.anggriawan153@icloud.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Content Creator,Content Writer,"Research, Content Marketing, Content Strategy",Beginner,1,Denpasar,63.7,20,3.37,72.1,2844000,53.72,3465.68,Konekin,Milestone,1,1,2025-12-24 9:03:36
2647,"Dr. Jaga Mardhiyah, M.TI.",dr..jaga.mardhiyah.m.ti.131@gmail.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Content Creator,Blog Writer,"WordPress, Storytelling, Content Marketing",Beginner,2,Pekanbaru,43.4,31,2.26,43.8,6520000,44.58,4191.75,Upwork,Milestone,1,0,2024-02-13 16:19:15
2648,"R.A. Ida Santoso, M.Pd",r.a..ida.santoso.m.pd860@yahoo.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Content Creator,Blog Writer,"Copywriting, SEO Writing, WordPress, Google Analytics, Email Marketing",Intermediate,3,Palembang,66.9,77,3.51,39.2,2734000,35.37,2193.04,Toptal,Milestone,1,1,2023-09-13 13:46:11
2649,Arsipatra Nasyidah,arsipatra.nasyidah969@icloud.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Content Creator,SEO Writer,"Research, Content Marketing, Email Marketing, Storytelling, Google Analytics, Content Strategy, Copywriting",Expert,10,Semarang,94.6,290,4.65,60,2651000,49.62,4075.79,PeoplePerHour,Milestone,1,1,2024-01-22 2:07:39
2650,Manah Maulana,manah.maulana859@gmail.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Content Creator,Content Creator,"WordPress, Content Strategy, Google Analytics, Proofreading, Copywriting",Intermediate,3,Pekanbaru,70.9,92,3.27,46.5,3254000,17.58,2066.57,Fiverr,Milestone,0,1,2026-03-03 6:55:18
2651,Diana Saputra,diana.saputra583@outlook.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Content Creator,Content Writer,"Proofreading, Storytelling, Content Strategy, Research, Email Marketing, Copywriting, WordPress",Expert,13,Denpasar,96.2,260,4.92,64.7,2882000,43.53,3695.11,Toptal,Retainer,1,1,2025-12-18 1:16:03
2652,Maras Prayoga,maras.prayoga75@yahoo.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Content Creator,Content Writer,"SEO Writing, Content Marketing, WordPress, Copywriting, Proofreading, Email Marketing, Google Analytics",Expert,7,Semarang,79.7,161,4.64,43.8,4548000,43.7,2463.63,Konekin,Hourly,1,1,2026-04-24 7:47:12
2653,Kasusra Latupono,kasusra.latupono785@konekin.id,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Content Creator,Technical Writer,"Copywriting, Storytelling, Google Analytics, Proofreading, Content Marketing, Email Marketing, WordPress",Expert,6,Yogyakarta,75.4,249,3.7,56.9,1528000,51.46,2345.53,Koneksi Pribadi,Fixed,0,1,2023-05-07 14:29:22
2654,Siti Suartini,siti.suartini582@yahoo.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Content Creator,Content Writer,"Content Marketing, Research, Google Analytics, Email Marketing, Content Strategy",Intermediate,3,Bekasi,73.4,131,3.46,64.3,5331000,34.77,3733.85,Fiverr,Fixed,0,1,2026-04-05 8:22:47
2655,Chelsea Pudjiastuti,chelsea.pudjiastuti245@gmail.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,UX Writer,"Google Analytics, SEO Writing, Research, Copywriting, WordPress",Intermediate,4,Malang,83.5,145,4.33,68,3285000,57.51,4147.12,Koneksi Pribadi,Retainer,0,1,2024-02-19 9:09:37
2656,Hasan Suryatmi,hasan.suryatmi391@outlook.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,Blog Writer,"Email Marketing, Copywriting, Storytelling",Beginner,2,Jakarta,54,27,2.19,46.8,4458000,46.07,4675.38,Konekin,Fixed,1,0,2024-03-24 4:37:11
2657,Luis Anggriawan,luis.anggriawan779@yahoo.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Content Creator,SEO Writer,"Content Strategy, WordPress, Content Marketing, Google Analytics, Research",Intermediate,4,Makassar,71.3,64,3.89,52.5,6364000,20.49,3838.05,Freelancer,Milestone,1,1,2025-10-24 20:50:21
2658,Opan Setiawan,opan.setiawan892@yahoo.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Content Creator,Content Creator,"Proofreading, Research, Google Analytics, Storytelling, Content Strategy, Content Marketing, SEO Writing",Expert,9,Surabaya,85.2,468,4.28,77.1,926000,22.35,754.91,Konekin,Retainer,1,1,2023-11-15 17:19:49
2659,Kawaya Wahyuni,kawaya.wahyuni543@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Content Creator,UX Writer,"Content Marketing, Copywriting, Storytelling, SEO Writing, Email Marketing",Intermediate,4,Makassar,78.8,93,4.36,57.3,2271000,57.64,1233.18,Konekin,Retainer,1,1,2026-04-12 12:27:46
2660,"KH. Lamar Kurniawan, S.Sos",kh..lamar.kurniawan.s.sos693@outlook.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Content Creator,Content Writer,"Content Strategy, Copywriting, Email Marketing",Beginner,1,Denpasar,51.3,4,2.28,40.8,2956000,31.97,3907.15,Freelancer,Fixed,1,1,2026-03-07 5:51:47
2661,Sari Usada,sari.usada398@outlook.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,SEO Writer,"Copywriting, Content Marketing, Storytelling",Beginner,2,Semarang,66.8,37,3.39,63.6,3665000,55.1,3631.57,Freelancer,Retainer,1,1,2025-02-26 6:13:01
2662,Rendy Handayani,rendy.handayani68@gmail.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,Content Writer,"Research, Content Strategy, Proofreading, SEO Writing, WordPress, Email Marketing, Content Marketing",Expert,13,Pekanbaru,90,329,4.5,91.2,1756000,9.98,2538.34,Toptal,Hourly,1,1,2024-01-02 19:52:51
2663,Farhunnisa Prastuti,farhunnisa.prastuti547@gmail.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Content Creator,UX Writer,"Email Marketing, SEO Writing, Proofreading, Research, Content Marketing, WordPress, Google Analytics",Expert,8,Depok,88.5,431,4.3,62.2,5935000,56.06,4276.72,Konekin,Retainer,0,1,2025-03-26 3:43:07
2664,"drg. Eva Hassanah, S.H.",drg..eva.hassanah.s.h.885@konekin.id,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Content Creator,SEO Writer,"SEO Writing, Google Analytics, Research, Storytelling, Content Strategy, WordPress, Copywriting",Expert,7,Jakarta,85.8,143,4.54,50.7,1891000,38.01,1096.98,Toptal,Milestone,1,1,2025-07-13 17:44:32
2665,Kartika Maulana,kartika.maulana203@yahoo.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Content Creator,Script Writer,"Copywriting, Content Marketing, Proofreading",Beginner,2,Palembang,61.4,40,3.79,65,4906000,38.77,2607.66,PeoplePerHour,Milestone,0,0,2026-01-18 14:14:33
2666,Jumari Najmudin,jumari.najmudin924@outlook.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Content Creator,Technical Writer,"WordPress, SEO Writing, Proofreading, Google Analytics, Storytelling, Research, Copywriting",Expert,11,Manado,70.6,437,3.47,69.7,3044000,22.55,2033.83,Koneksi Pribadi,Hourly,1,1,2024-09-20 10:23:05
2667,"R. Fitriani Purnawati, M.Kom.",r..fitriani.purnawati.m.kom.203@gmail.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Content Creator,SEO Writer,"Storytelling, Copywriting, SEO Writing, Email Marketing, Proofreading, WordPress, Content Marketing",Expert,11,Bandung,73.5,462,3.58,48.3,2024000,59.26,2147.44,Toptal,Hourly,0,1,2026-03-04 17:20:47
2668,Marsudi Suryono,marsudi.suryono959@yahoo.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,Script Writer,"Content Strategy, WordPress, Copywriting, Storytelling, SEO Writing, Email Marketing, Proofreading",Expert,13,Bekasi,82.2,326,3.9,65.5,638000,38.31,426,PeoplePerHour,Fixed,1,1,2023-05-29 3:09:40
2669,Timbul Nugroho,timbul.nugroho232@gmail.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,Blog Writer,"Storytelling, Copywriting, Google Analytics, Research, Email Marketing",Intermediate,4,Manado,74.5,147,3.75,52.6,624000,24.17,517.04,Konekin,Fixed,1,1,2025-10-17 19:40:47
2670,"Lulut Nainggolan, S.Pt",lulut.nainggolan.s.pt770@gmail.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Content Creator,Content Writer,"Storytelling, Content Marketing, SEO Writing, WordPress, Google Analytics, Research, Email Marketing",Expert,6,Yogyakarta,85.3,146,4.28,71.7,6520000,41.19,4223.28,Upwork,Fixed,1,1,2023-10-10 7:55:19
2671,Hesti Hasanah,hesti.hasanah787@konekin.id,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Content Creator,UX Writer,"Storytelling, Proofreading, Copywriting, WordPress, Research, Email Marketing, Google Analytics",Expert,13,Palembang,90.8,227,4.45,63,3465000,24.76,4762.75,Toptal,Milestone,1,1,2026-01-26 5:20:54
2672,Cinthia Novitasari,cinthia.novitasari906@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Content Creator,SEO Writer,"Copywriting, WordPress, SEO Writing, Proofreading, Storytelling",Intermediate,3,Manado,62,149,3.87,49.2,1100000,34.8,700.48,Fiverr,Milestone,1,1,2023-10-03 12:03:43
2673,"KH. Adinata Suartini, S.IP",kh..adinata.suartini.s.ip125@konekin.id,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Content Creator,Content Writer,"Email Marketing, Copywriting, Proofreading, Research, Storytelling",Intermediate,5,Bekasi,60.8,129,3.12,37.7,620000,27.6,538.31,Koneksi Pribadi,Milestone,1,1,2024-06-23 2:45:45
2674,Balapati Budiman,balapati.budiman832@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Content Creator,Script Writer,"Content Marketing, Proofreading, Research, Email Marketing, Storytelling",Intermediate,5,Palembang,67.1,84,3.26,44.5,2405000,55.07,2388.57,Toptal,Milestone,0,1,2025-08-19 14:13:16
2675,"Warji Gunawan, S.E.I",warji.gunawan.s.e.i494@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Content Creator,Script Writer,"Content Marketing, WordPress, Content Strategy, Research, Proofreading",Intermediate,3,Makassar,66.9,110,2.85,50.7,4021000,9.77,2419.37,Koneksi Pribadi,Hourly,1,1,2024-02-02 4:25:06
2676,Embuh Megantara,embuh.megantara479@outlook.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Content Creator,UX Writer,"Research, Google Analytics, SEO Writing, Content Strategy, Copywriting, Storytelling, WordPress",Expert,10,Jakarta,84.9,453,4.61,76.1,1319000,33.94,1043.42,PeoplePerHour,Retainer,1,1,2026-02-27 12:15:32
2677,Cut Widya Anggriawan,cut.widya.anggriawan997@gmail.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,Technical Writer,"Content Marketing, WordPress, SEO Writing, Copywriting, Research",Intermediate,4,Palembang,90.9,47,4.52,79.1,3872000,34.73,3263.31,Koneksi Pribadi,Milestone,0,1,2026-03-20 8:24:54
2678,Kemba Sirait,kemba.sirait775@icloud.com,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Content Creator,Blog Writer,"Email Marketing, Copywriting, SEO Writing, Content Strategy, Content Marketing, Research, Google Analytics",Expert,9,Makassar,87.3,128,3.99,68.9,3074000,43.55,2591.2,Koneksi Pribadi,Retainer,1,1,2025-11-25 9:53:48
2679,Damar Mandala,damar.mandala81@icloud.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Content Creator,Technical Writer,"Copywriting, Google Analytics, WordPress",Beginner,2,Depok,49.2,3,3,22.1,1960000,46.61,1569.29,Fiverr,Retainer,1,1,2024-10-13 11:33:23
2680,Dr. Yulia Marpaung,dr..yulia.marpaung851@outlook.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Content Creator,UX Writer,"Proofreading, Google Analytics, WordPress, Content Marketing, SEO Writing",Intermediate,5,Semarang,55.7,139,3.18,48.6,1002000,56.54,700.97,Toptal,Milestone,1,1,2024-04-06 21:03:49
2681,Eva Prasasta,eva.prasasta912@gmail.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Content Creator,Content Creator,"Copywriting, Content Marketing, Google Analytics, SEO Writing, Content Strategy",Intermediate,5,Malang,72.3,77,4.2,64.9,4064000,11.28,2354.34,Koneksi Pribadi,Retainer,1,1,2023-07-06 7:02:53
2682,"Hasna Utami, M.Pd",hasna.utami.m.pd488@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Content Creator,Content Creator,"Copywriting, Content Strategy, Email Marketing, Storytelling, Proofreading",Intermediate,3,Palembang,66.3,146,2.91,51.7,3846000,58.82,4681.93,Konekin,Hourly,1,1,2023-09-17 22:13:32
2683,"Cut Ciaobella Palastri, S.Pd",cut.ciaobella.palastri.s.pd112@konekin.id,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,SEO Writer,"Research, Email Marketing, Storytelling, WordPress, SEO Writing",Intermediate,5,Denpasar,77,41,3.97,72.2,3536000,55.39,3592.35,Upwork,Retainer,1,1,2023-08-26 10:53:01
2684,"drg. Dinda Adriansyah, S.H.",drg..dinda.adriansyah.s.h.813@konekin.id,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Content Creator,UX Writer,"Content Strategy, Content Marketing, Proofreading",Beginner,2,Palembang,51.5,8,2.4,49.6,1258000,43.89,1128.25,Konekin,Fixed,0,1,2023-06-01 8:49:55
2685,Kiandra Maulana,kiandra.maulana214@outlook.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Content Creator,Script Writer,"Google Analytics, SEO Writing, Proofreading, Research, Content Strategy, Storytelling, Email Marketing",Expert,11,Manado,91.2,433,5,99,704000,27.03,620.63,PeoplePerHour,Fixed,1,1,2024-05-27 4:45:50
2686,Genta Winarno,genta.winarno67@outlook.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Content Creator,Content Creator,"Email Marketing, Copywriting, Research, Content Marketing, WordPress",Intermediate,4,Malang,72.2,131,3.48,64.5,5084000,36.47,4310.22,Fiverr,Retainer,1,1,2025-05-27 13:45:35
2687,"Yuni Kusumo, M.Kom.",yuni.kusumo.m.kom.284@icloud.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Content Creator,Blog Writer,"Content Strategy, WordPress, Google Analytics, SEO Writing, Proofreading",Intermediate,3,Yogyakarta,79.4,56,3.88,52.5,1568000,46.05,1435.98,Koneksi Pribadi,Hourly,0,1,2023-11-07 20:36:59
2688,Darmana Jailani,darmana.jailani771@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Content Creator,Copywriter,"WordPress, SEO Writing, Research",Beginner,1,Depok,48.7,36,2.4,50.2,245000,39.72,324.2,Koneksi Pribadi,Hourly,1,0,2026-03-19 2:08:29
2689,Kani Hutagalung,kani.hutagalung838@yahoo.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Content Creator,SEO Writer,"Email Marketing, WordPress, Storytelling, Google Analytics, Research, SEO Writing, Copywriting",Expert,12,Jakarta,92.4,212,4.9,82.4,1515000,46.83,1934.27,Konekin,Milestone,1,1,2025-03-10 16:49:29
2690,Gatra Hutasoit,gatra.hutasoit777@yahoo.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Content Creator,Script Writer,"Copywriting, Proofreading, Google Analytics, Storytelling, SEO Writing",Intermediate,5,Depok,79.6,44,3.32,62,4822000,40.38,4965.48,Konekin,Milestone,1,1,2026-01-11 9:09:47
2691,R. Elma Aryani,r..elma.aryani636@konekin.id,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Content Creator,Technical Writer,"Content Strategy, Research, Email Marketing",Beginner,1,Makassar,58.6,12,3.02,48.8,3384000,37.38,3575.16,Upwork,Milestone,1,1,2024-12-07 7:52:20
2692,R. Shania Anggraini,r..shania.anggraini736@yahoo.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Content Creator,Copywriter,"SEO Writing, Storytelling, Copywriting, WordPress, Content Strategy",Intermediate,4,Tangerang,91.3,75,4.43,59.6,7387000,45.37,3902.83,Toptal,Hourly,1,1,2023-10-17 16:03:10
2693,"Mahfud Sihombing, M.Ak",mahfud.sihombing.m.ak550@gmail.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Content Creator,Script Writer,"Content Strategy, Content Marketing, Proofreading",Beginner,1,Makassar,53,13,2.94,44.1,1417000,14.77,1134.04,Fiverr,Hourly,1,0,2025-10-17 21:20:44
2694,Ciaobella Saputra,ciaobella.saputra259@yahoo.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Content Creator,Copywriter,"Copywriting, WordPress, Research",Beginner,1,Solo,51.7,30,2.85,68.9,3673000,19.17,2869.82,Upwork,Hourly,0,1,2026-02-03 0:08:45
2695,"Gading Saptono, S.Pt",gading.saptono.s.pt356@konekin.id,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Content Creator,Technical Writer,"Email Marketing, Storytelling, SEO Writing",Beginner,1,Semarang,53.5,8,3.01,34.7,1612000,12.05,1510.83,Koneksi Pribadi,Retainer,1,0,2025-09-16 10:26:41
2696,"R. Victoria Yolanda, S.E.I",r..victoria.yolanda.s.e.i253@icloud.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Content Creator,Technical Writer,"Copywriting, Research, Content Marketing, SEO Writing, Storytelling, Google Analytics, Content Strategy",Expert,8,Malang,87.4,237,4.3,77.5,4312000,20.06,2780.5,Freelancer,Hourly,1,1,2024-04-20 23:32:10
2697,Melinda Kuswandari,melinda.kuswandari685@outlook.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Content Creator,Script Writer,"SEO Writing, Storytelling, Content Strategy",Beginner,2,Yogyakarta,63.3,14,3.22,41.7,593000,30.3,696.95,Upwork,Retainer,0,0,2025-10-14 16:44:50
2698,Koko Aryani,koko.aryani531@outlook.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Content Creator,Content Writer,"Content Strategy, SEO Writing, Research",Beginner,2,Surabaya,65.4,40,3.58,50.1,3247000,56.13,1872.77,Koneksi Pribadi,Fixed,1,0,2026-03-22 12:09:29
2699,Dalima Iswahyudi,dalima.iswahyudi657@konekin.id,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Content Creator,Technical Writer,"Copywriting, SEO Writing, Storytelling, Proofreading, Email Marketing",Intermediate,5,Malang,78.5,95,3.6,67.7,404000,51.01,372.83,Freelancer,Fixed,1,1,2024-04-24 1:06:01
2700,Cemplunk Winarno,cemplunk.winarno748@gmail.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Content Creator,Content Writer,"Research, Copywriting, SEO Writing",Beginner,1,Semarang,52.1,34,2.87,31.8,1951000,57.88,3019.9,Freelancer,Hourly,1,1,2024-05-26 10:19:32
2701,Lintang Laksmiwati,lintang.laksmiwati809@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,Blog Writer,"WordPress, Proofreading, SEO Writing, Copywriting, Content Marketing",Intermediate,5,Surabaya,80.1,61,3.44,57.2,7375000,42.71,4084.73,Toptal,Fixed,0,1,2025-06-03 20:45:22
2702,Rahmi Usada,rahmi.usada658@konekin.id,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Content Creator,Technical Writer,"Proofreading, Content Marketing, Research, Copywriting, WordPress, Content Strategy, SEO Writing",Expert,6,Semarang,94.6,106,4.79,92.8,749000,13.5,699.75,PeoplePerHour,Fixed,1,1,2024-05-05 10:54:02
2703,"Ir. Viman Prasasta, S.Sos",ir..viman.prasasta.s.sos969@gmail.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Content Creator,Copywriter,"Email Marketing, Google Analytics, Storytelling, Content Marketing, WordPress",Intermediate,4,Bekasi,76.4,112,3.92,67.7,3773000,10.36,2039.3,Konekin,Retainer,1,1,2024-08-06 19:17:02
2704,Paulin Nasyidah,paulin.nasyidah416@yahoo.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Content Creator,UX Writer,"SEO Writing, Copywriting, WordPress, Google Analytics, Storytelling",Intermediate,4,Manado,65.6,136,3.7,44.9,1484000,14.54,1390.9,Upwork,Hourly,1,1,2024-10-26 19:45:05
2705,Sutan Harjo Hutasoit,sutan.harjo.hutasoit716@yahoo.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Content Creator,Copywriter,"WordPress, Research, Content Marketing",Beginner,1,Solo,73.4,31,3.61,44.5,3304000,11.87,3217.8,Freelancer,Milestone,1,0,2025-01-31 15:26:44
2706,Paramita Permata,paramita.permata91@konekin.id,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Content Creator,SEO Writer,"WordPress, Copywriting, Google Analytics",Beginner,1,Malang,52,6,2.62,48,2284000,19.58,2127.74,Konekin,Retainer,1,1,2025-09-02 23:56:46
2707,"H. Darmaji Irawan, S.H.",h..darmaji.irawan.s.h.546@outlook.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Content Creator,Content Writer,"Copywriting, Email Marketing, Research",Beginner,2,Yogyakarta,42,10,2.37,48,2392000,36.18,3400.2,Konekin,Retainer,1,0,2024-06-05 9:38:55
2708,Soleh Budiyanto,soleh.budiyanto152@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Content Creator,Blog Writer,"Proofreading, Storytelling, Copywriting, WordPress, Google Analytics, SEO Writing, Research",Expert,12,Jakarta,83.8,266,4.06,59.1,3624000,20.1,2484.14,Koneksi Pribadi,Fixed,1,1,2024-06-06 3:46:03
2709,Diana Kusumo,diana.kusumo560@icloud.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Content Creator,Technical Writer,"WordPress, Proofreading, Research, Content Marketing, Email Marketing",Intermediate,3,Bandung,83.6,30,3.82,72.9,965000,22.23,990.21,PeoplePerHour,Fixed,0,1,2023-07-10 8:23:51
